name,datetime,tempmax,tempmin,temp,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,conditions,description,icon
NEBRASKA,1/18/70,-1,-9.1,-4.5,-16.4,55.6,0,0,0,,,7.1,,15,0.1,1030.2,85.4,10.6,,,,,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/19/70,6.2,-12.9,-5,-14.2,63.7,0,0,0,,,7.1,,5.8,170.3,1027.3,51.3,8.8,,,,,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/20/70,10.1,-12.9,-4,-15.5,57.2,0,0,0,,,7.1,,16.1,352.2,1030.6,55.4,9.7,,,,,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/21/70,10.1,-14,-2.9,-14.8,56,0,0,0,,,7.1,,16.1,158.6,1035.2,86.7,10.8,,,,,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/22/70,38,8.9,23,17.1,77.9,0,0,0,,,5.9,,17.2,203.6,1013.1,88.3,9,,,,,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/23/70,28.1,17.9,23,16.5,76,0,0,0,,,5.1,,15,60.2,1018,88.8,7.5,,,,,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/24/70,41.1,25.1,32.8,28.1,82.7,0,0,0,,,5.1,,10.3,151.6,1004.4,79.2,8,,,,,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/25/70,44.9,34.1,37.8,31.5,78.1,0,0,0,,,3.9,,23,295.6,1003.2,77.1,10,,,,,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/26/70,46.1,28.1,35.8,28.6,75.8,0,0,0,,,3.2,,12.8,273.8,1015.6,42.9,10.4,,,,,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/27/70,44.9,29,36.2,29.3,76.5,0,0,0,,,2,,13.9,132.2,1010.9,87.9,10.5,,,,,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/28/70,43.1,30.8,38.2,29.5,71.6,0,0,0,,,1.2,,25.3,321.6,1000.8,73.3,9.4,,,,,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/29/70,34.1,16.1,25.8,13.8,60.3,0,0,0,,,,,23,308.3,1025,22.5,10.5,,,,,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,1/30/70,46.1,23.1,32.7,19.6,59.7,0,0,0,,,,,13.9,265.5,1024.5,14.6,10.8,,,,,0.75,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,1/31/70,46.1,28.1,36.7,19.3,50.2,0,0,0,,,,,10.3,204.3,1015.8,12.5,10.8,,,,,0.81,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,2/1/70,47.9,20.9,37.7,24.3,59.1,0,0,0,,,,,28.9,257.4,1003.3,42.5,10.9,,,,,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/2/70,16.1,-1,5.1,-12.3,45.4,0,0,0,,,,,28.9,338.6,1022.5,33.3,10.8,,,,,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/3/70,21.8,-2.1,8.5,-9.4,43.5,0,0,0,,,,,16.1,283.1,1024,37.1,10.5,,,,,0.91,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NEBRASKA,2/4/70,47.9,21.8,34.2,18.6,55.1,0,0,0,,,,,20.8,294.5,1010.1,46.3,10.7,,,,,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/5/70,50.1,20,34.7,20,60.7,0,0,0,,,,,16.1,215.2,1023.6,42.1,10.8,,,,,0.98,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NEBRASKA,2/6/70,55.1,33.2,43.4,33,67.4,0,0,0,,,,,10.3,156.1,1023.8,84.2,10.6,,,,,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/7/70,50.1,32.1,40,33.5,79.7,0,0,0,,,,,16.1,315.6,1022.3,71.3,7.7,,,,,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/8/70,41.1,26,32.4,25.2,75.6,0,0,0,,,,,21.9,328.9,1024.6,52.9,10.8,,,,,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/9/70,35,23.1,28,22.2,79.3,0,0,0,,,,,18.3,327.6,1027.7,71.7,10.1,,,,,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/10/70,44,25.1,32.6,24.6,73.3,0,0,0,,,,,15,359.9,1017.3,53.8,10.9,,,,,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/11/70,35.9,26.9,30.4,22.5,73.2,0,0,0,,,,,21.9,340.7,1024.2,86.7,9.6,,,,,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/12/70,47.9,20,31,20.4,66.1,0,0,0,,,,,23,316.7,1021.4,50.8,10.5,,,,,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/13/70,21.8,14.1,17.4,11.2,77.1,0,0,0,,,,,11.6,46.2,1023.9,80.4,7.4,,,,,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/14/70,17,11,15.1,11.1,84.1,0,0,0,,,2,,9.2,67.6,1020.1,90.4,6.8,,,,,0.28,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,2/15/70,32.1,3.8,18,13.4,83,0,0,0,,,2,,10.3,336.2,1024.6,45,6.6,,,,,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/16/70,48.8,19.1,32.5,26,77.8,0,0,0,,,1.2,,15,158.9,1019.8,72.5,8.6,,,,,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/17/70,65,29,45.7,32.2,62.5,0,0,0,,,,,10.3,151,1004.2,24.2,10.5,,,,,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/18/70,46.1,8,23.8,14.5,67.5,0,0,0,,,,,27.7,337.1,1012.4,59.2,8.9,,,,,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/19/70,37.1,3.8,18.3,6,59.9,0,0,0,,,,,27.7,321.5,1030.1,0,10.9,,,,,0.45,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,2/20/70,46.1,5.1,23.3,12.3,64.9,0,0,0,,,,,9.2,221.9,1035.5,17.5,10.8,,,,,0.48,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,2/21/70,62,25.1,41.9,26.3,60.1,0,0,0,,,,,13.9,215.7,1029.1,29.6,10.5,,,,,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NEBRASKA,2/22/70,55.1,32.1,42.5,26.2,55.1,0,0,0,,,,,13.9,15.7,1025,34.2,10.9,,,,,0.55,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NEBRASKA,2/23/70,52.1,20,36.5,23.4,63.6,0,0,0,,,,,8.1,166.6,1028.3,39.6,10.4,,,,,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/24/70,50.1,30.8,40.2,30.7,71,0,0,0,,,,,21.9,342.9,1021,61.3,8.5,,,,,0.62,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NEBRASKA,2/25/70,29.9,17.9,24.5,4.6,45.7,0,0,0,,,,,18.3,7.1,1029,17.9,10.8,,,,,0.65,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,2/26/70,53.9,25.1,40.1,19.5,46.4,0,0,0,,,,,24.2,293.2,1012.3,23.8,10.9,,,,,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/27/70,47.9,32.1,38.6,22.5,54.1,0,0,0,,,,,9.2,46.8,1018.1,50.4,10.9,,,,,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,2/28/70,35.9,32.1,33.7,22.1,64,0,0,0,,,,,16.1,93,1021.6,97.5,9.7,,,,,0.75,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,3/1/70,39.8,33.2,36.3,34.2,92.2,0,0,0,,,,,10.3,44.9,1018.1,100,2.2,,,,,0.79,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,3/2/70,65.9,35.9,50,47.6,92,0,0,0,,,,,15,108.3,1007.7,100,4.2,,,,,0.83,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,3/3/70,59.1,29,43.2,37.6,80.5,0,0,0,,,,,20.8,329.9,1005.3,80,10.1,,,,,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,3/4/70,48.8,24.2,35.9,22.5,61.3,0,0,0,,,,,10.3,348.1,1016.9,9.2,10.7,,,,,0.9,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,3/5/70,56,28.1,42.4,25.2,53.8,0,0,0,,,,,12.8,158.6,1016.1,61.3,10.9,,,,,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,3/6/70,47.9,29.9,38.4,25.8,62.9,0,0,0,,,,,17.2,359.7,1021.5,66.7,10.2,,,,,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,3/7/70,60.2,29.9,44.6,24.1,47.6,0,0,0,,,,,6.9,246.8,1015.4,9.6,10.9,,,,,0,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,3/8/70,61.1,32.1,44,29.3,58.4,0,0,0,,,,,19.7,10.4,1006.7,30.4,10.9,,,,,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,3/9/70,32.1,24.2,28.1,21.2,75.4,0,0,0,,,,,18.3,37.9,1012.9,100,8,,,,,0.07,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,3/10/70,29,21.8,24.9,18.9,77.9,0,0,0,,,1.2,,15,18,1019.1,90.4,9,,,,,0.1,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,3/11/70,34.1,20,26.9,18,69.6,0,0,0,,,,,13.9,19.9,1022.7,64.6,10.5,,,,,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,3/12/70,35.9,20,26.6,16.4,66.8,0,0,0,,,,,13.9,4.8,1025.4,45,10.7,,,,,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,3/13/70,30.8,17.9,24.5,13.8,65.8,0,0,0,,,,,21.9,324,1025.6,48.3,10.6,,,,,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,3/14/70,30.8,15.2,22.8,14.9,72,0,0,0,,,,,21.9,324.6,1023.7,42.1,9.6,,,,,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,3/15/70,38,12.8,26.1,10,55.2,0,0,0,,,,,10.3,0.5,1025.3,32.5,10.7,,,,,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,3/16/70,39.8,17,28.9,12,52,0,0,0,,,,,6.9,78.4,1028.2,28.8,10.9,,,,,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,3/17/70,41.1,20,31.7,19.4,60.5,0,0,0,,,,,11.6,92.6,1020.7,53.8,10.9,,,,,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NEBRASKA,3/18/70,35,30.8,32.8,28.8,85.5,0,0,0,,,,,13.9,67.4,1021.5,100,4.3,,,,,0.36,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,3/19/70,37.1,30.8,33.8,31,89.8,0,0,0,,,2,,18.3,275.8,1019.3,96.7,3.2,,,,,0.39,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,3/20/70,44,29.9,35.5,25,66.9,0,0,0,,,,,25.3,312.5,1019.6,35,10.9,,,,,0.42,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
NEBRASKA,3/21/70,51.2,23.1,36.6,25.1,66.7,0,0,0,,,,,6.9,180.5,1016.2,9.6,8.8,,,,,0.46,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,3/22/70,39.8,26,34,24.5,68.7,0,0,0,,,,,21.9,325.5,1013.9,75.8,10.8,,,,,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,3/23/70,43.1,28.1,35.2,25,67.8,0,0,0,,,,,17.2,321.7,1013.2,81.7,10.8,,,,,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,3/24/70,55.1,26.9,41.3,31.3,70.5,0,0,0,,,,,17.2,102.9,1005.9,83.8,10.2,,,,,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,3/25/70,42.2,33.2,36.5,33,86.9,0,0,0,,,,,20.8,345.6,1009.1,99.2,6.5,,,,,0.59,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,3/26/70,42.2,28.1,34.3,20.8,59.4,0,0,0,,,,,20.8,336.5,1016.5,71.3,10.8,,,,,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,3/27/70,32.1,16.1,23.4,14.5,68.5,0,0,0,,,,,20.8,355.8,1023.1,73.3,8.4,,,,,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,3/28/70,39.8,10.1,24.8,12.1,60.8,0,0,0,,,,,8.1,145,1022.3,25.8,11,,,,,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,3/29/70,44.9,20.9,33.5,20,59.6,0,0,0,,,,,9.2,135.4,1016,76.3,10.9,,,,,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,3/30/70,44.9,32.1,37.3,22.6,55.4,0,0,0,,,,,15,30.2,1017,100,10.7,,,,,0.75,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,3/31/70,46.1,28.1,35.6,24.3,64.3,0,0,0,,,,,12.8,68.8,1021.4,95,9.9,,,,,0.81,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,4/1/70,37.1,26.9,34.2,24.8,68.8,0,0,0,,,,,20.8,17.1,1015.5,87.1,7.9,,,,,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,4/2/70,56,20,37.4,25.2,64.4,0,0,0,,,,,16.1,293.3,1010.5,36.3,11.3,,,,,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,4/3/70,46.1,32.1,38,23.8,58,0,0,0,,,,,18.3,350.2,1020.8,77.9,10.9,,,,,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,4/4/70,53,20.9,37.8,21.2,55.4,0,0,0,,,,,10.3,201.5,1024.6,17.5,10.2,,,,,0.95,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,4/5/70,66.8,32.1,48.4,27.4,47.3,0,0,0,,,,,19.7,231.8,1012,37.9,10.9,,,,,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,4/6/70,65,33.2,49.3,27.3,45.4,0,0,0,,,,,11.6,318.7,1015.1,29.6,11.1,,,,,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,4/7/70,80,39.8,61.8,33.3,37.4,0,0,0,,,,,25.3,171,1011.9,10.4,10.7,,,,,0.05,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,4/8/70,64.1,41.1,55.8,22.6,29.1,0,0,0,,,,,20.8,332.5,1013.4,54.2,11.7,,,,,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,4/9/70,70.1,28.1,51.3,18.9,31.3,0,0,0,,,,,16.1,289.5,1019.1,20,11.4,,,,,0.12,Clear,Partly cloudy throughout the day.,clear-day
NEBRASKA,4/10/70,80,35.9,60,28.4,34.6,0,0,0,,,,,20.8,194.6,1012.1,60.4,10.9,,,,,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,4/11/70,79.1,51.2,62.4,44.2,54,0,0,0,,,,,11.6,57.4,1001.6,72.9,10.2,,,,,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,4/12/70,56,38.9,49.8,43.4,78.8,0,0,0,,,,,23,114.4,993.9,98.8,10.1,,,,,0.21,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,4/13/70,43.1,37.1,39.9,34.3,80.1,0,0,0,,,,,25.3,323,1007,100,10.1,,,,,0.25,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,4/14/70,47.9,35.9,40.7,34.1,77.3,0,0,0,,,,,13.9,45.9,1017.7,90.4,8,,,,,0.28,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,4/15/70,68.1,44.9,53.1,40.4,64.4,0,0,0,,,,,25.3,160.8,1009.6,66.3,9.4,,,,,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,4/16/70,64.1,34.1,50.6,32.8,54.7,0,0,0,,,,,20.8,352.2,1018.7,27.5,10.4,,,,,0.34,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
NEBRASKA,4/17/70,60.2,37.1,48.4,31.5,53,0,0,0,,,,,16.1,24.1,1024.1,53.8,11.5,,,,,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,4/18/70,51.2,43.1,47.3,43.1,85.7,0,0,0,,,,,23,94.3,1009.2,100,6.7,,,,,0.41,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,4/19/70,51.2,41.1,46.4,40.6,81,0,0,0,,,,,21.9,292.1,993.5,97.5,8.5,,,,,0.44,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,4/20/70,48.8,35,41.7,29.1,61.8,0,0,0,,,,,20.8,284.8,999.4,41.3,11.7,,,,,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,4/21/70,62,33.2,48.8,30.8,52.2,0,0,0,,,,,18.3,272,1010.7,22.1,11.9,,,,,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,4/22/70,75.8,35,54,38.9,59.4,0,0,0,,,,,36.9,262.1,1004.5,49.2,11.2,,,,,0.54,Partially cloudy,Partly cloudy throughout the day.,wind
NEBRASKA,4/23/70,61.1,30.8,47.8,32.4,59.3,0,0,0,,,,,11.6,194.2,1017.4,53.8,11.5,,,,,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,4/24/70,71.9,39.8,57.8,31.7,43.4,0,0,0,,,,,20.8,250.6,1014.2,9.2,12,,,,,0.61,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,4/25/70,78.2,47.9,62.9,40,44,0,0,0,,,,,11.6,182.9,1007.9,19.2,11.1,,,,,0.65,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,4/26/70,82.1,53,67.4,54.9,68.8,0,0,0,,,,,15,158.4,1004,27,8.6,,,,,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,4/27/70,83.9,60.2,72.5,59.9,67.1,0,0,0,,,,,17.2,139.2,996.8,31.3,10.3,,,,,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,4/28/70,88.1,65.9,76.5,47,43.3,0,0,0,,,,,13.9,185.8,995.4,0.4,10.5,,,,,0.75,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,4/29/70,83,62,72.2,53,54.7,0,0,0,,,,,17.2,202.7,1002.4,60.8,8.3,,,,,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,4/30/70,60.2,43.1,50.4,37.3,63.6,0,0,0,,,,,20.8,12.4,1009.3,95.8,9.1,,,,,0.82,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,5/1/70,52.1,38,43.7,33.5,69,0,0,0,,,,,23,312.7,1018.6,76.3,11.7,,,,,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,5/2/70,66.8,30.8,50,32.7,56.9,0,0,0,,,,,11.6,246.8,1024.3,7.1,11.8,,,,,0.9,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,5/3/70,79.1,43.1,61,40.2,50.6,0,0,0,,,,,18.3,274,1018.7,26.7,11.7,,,,,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,5/4/70,74,51.2,63.7,39.4,44.6,0,0,0,,,,,9.2,44,1022.2,15,12.6,,,,,0.97,Clear,Clear conditions throughout the day.,clear-day
NEBRASKA,5/5/70,74,56.9,65.3,46.1,52.9,0,0,0,,,,,11.6,66.8,1021,43.3,11.4,,,,,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,5/6/70,74.9,50.1,62.5,44.5,52.2,0,0,0,,,,,16.1,109.1,1019,31.7,11.2,,,,,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,5/7/70,84.8,56.9,70.8,50.3,51.9,0,0,0,,,,,18.3,163.9,1007.9,29.6,10.9,,,,,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,5/8/70,84.8,60.2,73,52.8,51,0,0,0,,,,,15,183,1000.5,41.7,11.4,,,,,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,5/9/70,66.8,56,61.4,52.5,73.9,0,0,0,,,,,11.6,229.8,1001.2,80.8,10.6,,,,,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,5/10/70,71,48.8,60.9,54.7,81.6,0,0,0,,,,,13.9,139,1005.1,59.6,9.3,,,,,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,5/11/70,82.1,56,69.8,63.7,81.6,0,0,0,,,,,11.6,140,1005.2,64.6,8.9,,,,,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,5/12/70,83,65,73.8,67,79.8,0,0,0,,,,,13.9,123.1,1006.3,86.7,9.6,,,,,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,5/13/70,74,60.2,65.4,61,86.1,0,0,0,,,,,13.9,19.1,1008.3,92.1,10.5,,,,,0.25,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,5/14/70,62,53.9,57.3,54.5,90.3,0,0,0,,,,,13.9,332.8,1014,97.1,5.9,,,,,0.29,Overcast,Cloudy skies throughout the day.,cloudy
NEBRASKA,5/15/70,64.1,44.9,54.1,42.4,66,0,0,0,,,,,16.1,326,1021,64.2,12.6,,,,,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,5/16/70,73.1,39.8,58.1,41.9,58.6,0,0,0,,,,,13.9,322.6,1017.8,35.8,12.8,,,,,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
NEBRASKA,5/17/70,80,48.8,66.5,48.3,55.3,0,0,0,,,,,10.3,157.6,1016.6,6.7,12.4,,,,,0.39,Clear,Clear conditions throughout the day.,clear-day
