name,datetime,tempmax,tempmin,temp,humidity,precip,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,description,icon
MINNESOTA,1/12/70,11,-3.9,4.1,65.6,,0,,,,,9.2,297.2,1024.8,39.2,12.4,,,,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,1/13/70,8.9,2,5.9,68,,0,,,,,12.8,52.6,1027.6,95.4,9,,,,0.2,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,1/14/70,17,8.9,12.6,73.3,,0,,,,,15,102.7,1023.2,100,11.9,,,,0.25,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,1/15/70,28.1,17,23.2,94.5,,0,,,,,11.6,162.8,1015.9,100,2.2,,,,0.27,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,1/16/70,24.2,-3,2.8,65.5,,0,,,,,20.8,321.2,1025.3,74.6,8.9,,,,0.3,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
MINNESOTA,1/17/70,-3,-16.9,-7.3,60.7,,0,,,,,12.8,337.6,1027.1,60.8,8.5,,,,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,1/18/70,-12.9,-27.1,-19.9,62.3,,0,,,,,11.6,270.6,1031.1,24.2,11.6,,,,0.37,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
MINNESOTA,1/19/70,-11.1,-30,-20.8,66.7,,0,,,,,9.2,236,1026.9,51.7,8,,,,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,1/20/70,-11.1,-21,-15.9,58.4,,0,,,,,16.1,329.6,1030.7,4.6,14.2,,,,0.44,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,1/21/70,-5,-29.1,-17.8,63.6,,0,,,,,9.2,203.8,1035.2,32.1,10.9,,,,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,1/22/70,17,-3,8.9,73.6,,0,,,,,13.9,178.7,1014.2,97.5,4.8,,,,0.5,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,1/23/70,14.1,-5.9,3.1,66.9,,0,,,,,15,180.1,1019.4,57.1,11,,,,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,1/24/70,29,15.2,22.3,86.6,,0,,,,,18.3,170.5,1004.6,82.5,7,,,,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,1/25/70,32.1,19.1,27.3,86.6,,0,,,,,17.2,23.5,1003.8,89.6,5.7,,,,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,1/26/70,30.8,17,24.2,90.2,,0,,,,,15,250,1012.1,86.7,7,,,,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,1/27/70,34.1,6.2,19.8,83.2,,0,,,,,16.1,156.5,1011.5,74.6,10.2,,,,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,1/28/70,37.1,29.9,34.6,82.1,,0,,,,,20.8,341.6,999.1,100,10.2,,,,0.71,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,1/29/70,29,11,17,77.7,,0,,,,,18.3,312.4,1020.5,82.9,14,,,,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,1/30/70,29,6.2,19.1,83.3,,0,,,,,15,244.2,1018.9,48.8,13.8,,,,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,1/31/70,33.2,16.1,24.8,75.8,,0,,,,,13.9,236.5,1010.9,50.8,14.9,,,,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,2/1/70,35.9,8.9,27.2,75.3,,0,,,,,25.3,245,999.8,64.6,14.6,,,,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,2/2/70,5.1,-14.9,-9,47.8,,0,,,,,25.3,315.8,1020.4,0.4,14.2,,,,0.88,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,2/3/70,-7,-20.1,-12.8,49,,0,,,,,23,293.4,1023.4,37.5,14.2,,,,0.91,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
MINNESOTA,2/4/70,23.1,-5,8.4,72.1,,0,,,,,23,254.9,1005.3,97.5,5.9,,,,0.95,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,2/5/70,28.1,-2.1,13.2,73.6,,0,,,,,11.6,214.4,1021.4,30.4,14.8,,,,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,2/6/70,34.1,11.9,23.7,79.4,,0,,,,,6.9,141.3,1025.4,59.2,13.6,,,,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,2/7/70,38,29,33.1,80.5,,0,,,,,6.9,47.6,1021.3,96.7,4.4,,,,0.05,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,2/8/70,32.1,19.1,26,80.2,,0,,,,,15,6.6,1024.8,90.4,9.1,,,,0.08,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,2/9/70,26.9,16.1,22.3,83.2,,0,,,,,17.2,258.6,1025.2,79.2,12.4,,,,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,2/10/70,32.1,23.1,27.9,73.8,,0,,,,,13.9,2.2,1018.3,86.7,14.4,,,,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,2/11/70,28.1,12.8,23.1,66.6,,0,,,,,19.7,329.5,1023.4,44.6,13.5,,,,0.18,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
MINNESOTA,2/12/70,17.9,6.2,11.3,70.4,,0,,,,,13.9,314.3,1020.9,53.3,11.7,,,,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,2/13/70,8,-11.1,-1.3,58.1,,0,,,,,16.1,325.9,1027.6,17.1,14.4,,,,0.25,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,2/14/70,8.9,-12.9,-2.2,63.5,,0,,,,,9.2,149.6,1025,73.3,10.1,,,,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,2/15/70,15.2,-0.1,9,70.5,,0,,,,,13.9,297.6,1024.6,44.6,10.5,,,,0.31,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
MINNESOTA,2/16/70,30.8,-2.1,16.1,75.4,,0,,,,,18.3,188.1,1018.6,89.6,8.4,,,,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,2/17/70,38,15.2,28.1,85.9,,0,,,,,18.3,143.8,1005.4,81.3,3.7,,,,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,2/18/70,35.9,2.9,17,63.8,,0,,,,,25.3,350.7,1014.6,74.2,14.2,,,,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,2/19/70,12.8,-5,4.1,55.9,,0,,,,,25.3,295.7,1025.4,46.3,14.2,,,,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,2/20/70,28.1,-9.1,7.8,65.2,,0,,,,,16.1,244.1,1031.8,37.9,14.5,,,,0.48,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
MINNESOTA,2/21/70,38.9,17.9,29.2,82.6,,0,,,,,13.9,235.1,1023.9,0,14.9,,,,0.5,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,2/22/70,38.9,25.1,33.1,72.8,,0,,,,,16.1,315.6,1024.7,0,14.9,,,,0.55,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,2/23/70,38,16.1,28.7,79.3,,0,,,,,19.7,221.4,1025.5,0,14.3,,,,0.58,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,2/24/70,30.8,14.1,26.5,72.6,,0,,,,,24.2,321.5,1020.1,12.9,14.9,,,,0.62,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,2/25/70,12.8,2,8,57.7,,0,,,,,20.8,323.7,1028.2,18.3,14.9,,,,0.65,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,2/26/70,35,15.2,24.7,71.1,,0,,,,,25.3,288.6,1004.8,81.7,14.6,,,,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,2/27/70,21.8,11,15.8,68.8,,0,,,,,12.8,313.9,1021.2,47.9,13.7,,,,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,2/28/70,26,8,18.4,72.8,,0,,,,,8.1,122.2,1029.6,72.1,7,,,,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,3/1/70,29.9,24.2,27,76.2,,0,,,,,13.9,46.8,1024.8,100,5.3,,,,0.79,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,3/2/70,34.1,29.9,31.7,85.1,,0,,,,,23,113.3,1017.3,100,3.7,,,,0.83,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,3/3/70,38.9,26.9,35.9,85.7,,0,,,,,19.7,130.5,1006.3,88.3,6.8,,,,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,3/4/70,30.8,17.9,24.8,64.4,,0,,,,,13.9,327,1018.9,7.9,14.9,,,,0.9,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,3/5/70,35,17.9,28.2,73.1,,0,,,,,13.9,159.5,1019.2,73.8,10.8,,,,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,3/6/70,30.8,14.1,23.2,67.8,,0,,,,,17.2,261.5,1021.6,41.7,14.4,,,,0.97,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
MINNESOTA,3/7/70,29.9,17.9,21.7,55.2,,0,,,,,13.9,20.1,1018.6,55.8,14.4,,,,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,3/8/70,20.9,14.1,17.4,65.6,,0,,,,,16.1,73.1,1016.5,94.2,14.6,,,,0.03,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,3/9/70,29,11,20.4,54.7,,0,,,,,12.8,20.1,1020.6,72.5,14.5,,,,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,3/10/70,29.9,19.1,24.1,55.9,,0,,,,,10.3,18.6,1021.7,47.5,14.9,,,,0.1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
MINNESOTA,3/11/70,32.1,11.9,22.3,63.1,,0,,,,,10.3,280.1,1025.4,21.7,13.1,,,,0.13,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
MINNESOTA,3/12/70,26,11.9,18.8,62.9,,0,,,,,17.2,321.5,1025.8,5,13,,,,0.16,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,3/13/70,26.9,15.2,20.4,66.9,,0,,,,,18.3,317.8,1021.9,66.7,13.8,,,,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,3/14/70,28.1,16.1,22,58.8,,0,,,,,17.2,325.5,1020.1,13.3,14.9,,,,0.25,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,3/15/70,29,11,21.3,54.8,,0,,,,,13.9,341.2,1026,1.3,14.9,,,,0.26,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,3/16/70,33.2,14.1,24,59,,0,,,,,10.3,228.8,1030,0,14.5,,,,0.29,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,3/17/70,38,19.1,29.4,59.5,,0,,,,,13.9,136.9,1025.4,0,14.3,,,,0.33,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,3/18/70,43.1,24.2,33.3,51,,0,,,,,12.8,54.7,1027.6,17.9,13.9,,,,0.36,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,3/19/70,37.1,28.1,33.5,59.5,,0,,,,,20.8,66.8,1024.1,92.9,10.7,,,,0.39,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,3/20/70,39.8,28.1,34.6,68.2,,0,,,,,17.2,337.9,1014.6,65,10.7,,,,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,3/21/70,37.1,19.1,27.1,75,,0,,,,,8.1,223.7,1016.9,24.2,8.6,,,,0.46,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
MINNESOTA,3/22/70,38.9,20.9,30,75.9,,0,,,,,12.8,260.9,1013,55.8,6.6,,,,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
MINNESOTA,3/23/70,37.1,26.9,30.5,70,,0,,,,,13.9,281.3,1010.2,77.5,11.7,,,,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,3/24/70,42.2,20,31.3,55,,0,,,,,15,257.8,1009,40.4,13.1,,,,0.56,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
MINNESOTA,3/25/70,43.1,30.8,37.1,52.3,,0,,,,,15,9.8,1014.2,92.9,14.9,,,,0.59,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,3/26/70,35,23.1,29,66.2,,0,,,,,17.2,317.9,1014,70.4,14.6,,,,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,3/27/70,28.1,12.8,18,63.1,,0,,,,,20.8,310,1022,27.9,13.3,,,,0.67,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
MINNESOTA,3/28/70,24.2,11.9,17.5,52.5,,0,,,,,13.9,63.6,1024.8,65.8,14.9,,,,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,3/29/70,37.1,17,27.2,61.3,,0,,,,,21.9,161,1018.7,91.3,11.9,,,,0.74,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,3/30/70,32.1,21.8,28.2,65,,0,,,,,17.2,285.9,1018.8,35.8,12.6,,,,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
MINNESOTA,3/31/70,38.9,17,28.7,64.9,,0,,,,,13.9,237.3,1024.1,62.9,13.2,,,,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/1/70,33.2,23.1,27.7,47.7,,0,,,,,16.1,8.6,1020,40.4,14.9,,,,0.84,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
MINNESOTA,4/2/70,38.9,16.1,28.8,58.9,,0,,,,,13.9,274.1,1009.1,65.8,12.6,,,,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/3/70,39.8,29.9,34.3,63.7,,0,,,,,19.7,308.1,1017.1,89.6,13.6,,,,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/4/70,42.2,20,33.1,58.1,,0,,,,,16.1,236.3,1022.7,29.2,14.9,,,,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/5/70,47.9,38.9,41.7,66.6,,0,,,,,23,233.5,1005.7,81.7,13.3,,,,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/6/70,47,32.1,39,73.4,,0,,,,,17.2,312.2,1014.6,23.3,13.4,,,,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/7/70,73.1,32.1,54,57.5,,0,,,,,27.7,186.9,1010.7,0.4,14,,,,0.05,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,4/8/70,62,44.9,51.7,42.9,,0,,,,,32.2,285.9,1008.2,35,12.9,,,,0.08,Partially cloudy,Partly cloudy throughout the day.,wind
MINNESOTA,4/9/70,50.1,34.1,42.3,52.5,,0,,,,,20.8,309.6,1016.8,0.4,14.8,,,,0.12,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,4/10/70,48.8,26.9,39,43.5,,0,,,,,19.7,82.8,1018.2,70.4,14.9,,,,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/11/70,53.9,37.1,44.3,41.9,,0,,,,,20.8,81.3,1013.2,47.1,14.9,,,,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/12/70,44,34.1,38.6,60.9,,0,,,,,30,85.6,1011.5,99.2,13,,,,0.21,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,4/13/70,42.2,34.1,39,63.7,,0,,,,,20.8,56.8,1012.9,99.6,11.8,,,,0.25,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,4/14/70,57.8,35.9,45.7,54.6,,0,,,,,16.1,101.7,1019.5,74.2,14.6,,,,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/15/70,53,44.9,47.8,72.7,,0,,,,,18.3,142.2,1015,95.4,7.4,,,,0.31,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,4/16/70,56.9,33.2,45.6,57.5,,0,,,,,27.7,245,1017,32.1,14.9,,,,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/17/70,52.1,38,43.4,62.4,,0,,,,,18.3,315.3,1024.7,82.5,14.6,,,,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/18/70,48.8,38.9,43.6,61,,0,,,,,20.8,99.6,1020.4,100,14.3,,,,0.41,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,4/19/70,42.2,38,39.8,80.2,,0,,,,,23,106.7,998.1,100,7.9,,,,0.44,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,4/20/70,41.1,34.1,37.3,80,,0,,,,,15,299.5,992.9,100,11.8,,,,0.47,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,4/21/70,44.9,35,38.9,73.2,,0,,,,,19.7,258.6,1005.9,81.3,14.1,,,,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/22/70,48.8,30.8,40.1,80.7,,0,,,,,27.7,69.2,1006.5,82.5,12.1,,,,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/23/70,60.2,33.2,46.6,65.5,,0,,,,,20.8,256.9,1013.4,28.3,14.9,,,,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/24/70,65,37.1,52,59.4,,0,,,,,20.8,261.1,1011.3,22.9,14.5,,,,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/25/70,75.8,41.1,60,49.4,,0,,,,,18.3,224.7,1005.8,33.3,13.9,,,,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/26/70,84.8,51.2,67.8,42.6,,0,,,,,17.2,173.7,1004.7,34.8,14.2,,,,0.68,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
MINNESOTA,4/27/70,84.8,57.8,71.5,60.7,,0,,,,,17.2,167.4,1001.5,47.9,14.4,,,,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/28/70,74.9,61.1,67.7,75.8,,0,,,,,24.2,130.5,999.9,73.3,9.2,,,,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,4/29/70,89.9,53,68.7,64.2,,0,,,,,27.7,217.4,1003.1,34.2,12.2,,,,0.79,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
MINNESOTA,4/30/70,59.1,46.1,51.6,61.7,,0,,,,,16.1,280.1,1011.4,88.8,13.9,,,,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,5/1/70,44.9,35.9,38.9,84.5,,0,,,,,16.1,329.5,1013.7,100,8.8,,,,0.86,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,5/2/70,59.1,33.2,45.7,63,,0,,,,,16.1,240,1022.2,35.4,14.9,,,,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
MINNESOTA,5/3/70,70.1,44,58.4,58.4,,0,,,,,19.7,275,1016.7,46.3,14.9,,,,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,5/4/70,66.8,44,56.3,47.6,,0,,,,,12.8,308.9,1022.2,21.3,14.9,,,,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,5/5/70,62,43.1,50.8,49.8,,0,,,,,19.7,17.1,1027.1,34.2,14.9,,,,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
MINNESOTA,5/6/70,65.9,37.1,52.1,50.2,,0,,,,,20.8,165,1025.4,36.3,14.9,,,,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,5/7/70,84.8,51.2,66.6,49,,0,,,,,17.2,176.9,1008.5,91.7,14.8,,,,0.07,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,5/8/70,86.1,60.2,74.3,48.1,,0,,,,,19.7,185.5,1001.1,73.3,14.9,,,,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,5/9/70,64.1,46.1,53.7,85.1,,0,,,,,13.9,15,1001.4,81.3,8.7,,,,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,5/10/70,60.2,42.2,48.6,83.4,,0,,,,,16.1,36.3,1008,72.1,9.6,,,,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,5/11/70,56.9,42.2,49.1,82.7,,0,,,,,18.3,68.8,1013.8,93.3,10,,,,0.2,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,5/12/70,64.1,44,54.4,76.8,,0,,,,,17.2,39.4,1014.6,99.2,11.1,,,,0.23,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,5/13/70,66.8,43.1,53.6,67.7,,0,,,,,19.7,62.9,1018.5,97.5,14.5,,,,0.25,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,5/14/70,55.1,46.1,48,90.6,,0,,,,,20.8,92.1,1018.1,100,7,,,,0.29,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,5/15/70,50.1,44.9,47.4,80.9,,0,,,,,16.1,288.1,1017,92.5,12.4,,,,0.32,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,5/16/70,65,44,53.3,59.5,,0,,,,,23,307.4,1014.3,65,14.9,,,,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,5/17/70,74.9,42.2,60.6,55,,0,,,,,16.1,195.5,1016.5,2.9,14.9,,,,0.39,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,5/18/70,89.9,62,74.9,48.8,,0,,,,,17.2,219.6,1010.9,6.7,14.9,,,,0.42,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,5/19/70,74.9,56.9,67.5,41,,0,,,,,16.1,43.4,1019.8,75.4,14.6,,,,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,5/20/70,89.9,62.9,75.8,50.4,,0,,,,,23,165.7,1013.6,89.6,13.3,,,,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,5/21/70,80,62,71.1,67.3,,0,,,,,24.2,3,1012.9,67.5,12.1,,,,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,5/22/70,65,53.9,59.2,82.7,,0,,,,,20.8,26,1018.1,100,9.7,,,,0.56,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,5/23/70,65,59.1,61.4,84.5,,0,,,,,13.9,98.6,1015.8,100,7.9,,,,0.59,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,5/24/70,75.8,61.1,67.5,82,,0,,,,,9.2,150,1010.7,98.8,8,,,,0.63,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,5/25/70,66.8,44.9,57.8,66.1,,0,,,,,28.9,300.6,1008,58.8,14.7,,,,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,5/26/70,62,42.2,51.7,56.6,,0,,,,,25.3,315.3,1012.3,9.2,14.9,,,,0.7,Clear,Clear conditions throughout the day.,clear-day
MINNESOTA,5/27/70,53,43.1,48,81.4,,0,,,,,17.2,98.1,1015.2,94.2,10.4,,,,0.75,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,5/28/70,78.2,48.8,62.6,79.2,,0,,,,,18.3,132.8,1015.5,95.4,10.5,,,,0.77,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,5/29/70,75.8,62.9,68.2,79.8,,0,,,,,18.3,175.4,1014.9,96.3,11.2,,,,0.81,Overcast,Cloudy skies throughout the day.,cloudy
MINNESOTA,5/30/70,74,62,67.6,86.8,,0,,,,,11.6,86.3,1013.2,85.4,5.4,,,,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
MINNESOTA,5/31/70,73.1,62.9,68.6,83.3,,0,,,,,11.6,28.3,1010.8,92.9,7.8,,,,0.88,Overcast,Cloudy skies throughout the day.,cloudy
